ⲟ,"great"
ⲟⲩⲧⲁϩ,"meaning unknown (part of the pillow? ribbon?)"
ⲥⲕⲉⲩⲉ,"vessel, jar (morph: Greek collective (neuter plural))"
ⲁⲅⲁⲡⲏ,"love (specific sense unclear)"
ⲫⲩⲥⲉⲓ,"by nature, naturally"
ⲃⲓⲁⲍⲉ,"to dominate, force, constrain, oppress s.th."
ϩⲟⲡⲱⲥ,"in order to, in order that (introduces purpose clause)"
ⲕⲟⲛⲓⲁ,"plaster"
ϫⲟⲟⲩϥ,"papyrus (plant)"
ϭⲱϣⲉⲛ,"dill"
ⲇⲉⲕⲁⲥ,"decad (group of ten)"
ⲕⲟⲉⲓϩ,"sheath"
ⲁϭⲃⲉⲥ,"moisture"
ⲁⲡⲟⲣⲓ,"to be at a loss (for ability to act)"
ⲥⲭⲓⲟⲛ,"hip-joint"
ⲃⲓⲛⲁϫ,"dish"
ⲙⲏⲇⲟⲥ,"Mede, person from Media"
ⲥⲕⲉⲡⲓ,"shelter, protection"
ⲁⲅⲟⲣⲁ,"market place"
ⲡⲗⲏⲅⲏ,"blow, stroke"
ⲙⲟⲓⲣⲁ,"degree"
ⲗⲁⲗⲓⲁ,"talk, speech"
ⲗⲟⲣⲟⲥ,"strap, thong"
ⲁⲛⲛⲉ-,"if (he will) not, unless"
ⲫⲁⲛⲟⲥ,"lamp, torch"
ϩⲁⲣⲙⲁ,"chariot"
ⲥⲉⲕⲉϩ,"clear out (a house)"
ϫⲁⲗⲓⲙ,"chicks, chickens"
ⲥⲟⲫⲓⲁ,"wisdom (specific sense unclear)"
ϣⲁⲑⲱⲗ,"ichneumon"
ⲥⲡⲓⲣⲁ,"cohort (of soldiers)"
ⲙⲁⲛⲛⲁ,"manna (food from heaven)"
ϩⲁⲡⲁⲝ,"If/when once (introduces conditional clause)"
ⲥⲁⲓⲟⲩ,"meaning unknown"
ⲃⲁϩⲥⲉ,"heifer"
ϫⲁⲩⲗⲉ,"support, bear"
ⲕⲗⲟⲡⲏ,"theft"
ⲕⲉⲣⲱⲛ,"candlestick"
ⲗⲓⲑⲟⲩ,"stone"
ⲧⲣⲩⲫⲁ,"to be at ease, indulge in comfort (object: none)"
(ⲣⲡⲱ),"twig (?), fresh plants, greens"
ⲟⲡⲓⲟⲛ,"poppy-juice, opium"
ⲃⲁⲗⲟⲧ,"skin garment"
ⲫⲣⲟⲛⲓ,"to understand s.th."
ⲉⲣⲃⲓⲛ,"papyrus"
ⲁⲡⲟⲭⲏ,"shedding, pouring out"
ⲁⲅⲉⲗⲏ,"herd"
ϩⲉⲛⲁⲥ,"unity, henad (transcendent)"
ⲕⲁⲕⲟⲥ,"bad, evil (specific sense unclear)"
ⲥⲕⲉⲡⲉ,"cover(ing)"
ϭⲁⲃⲱⲧ,"meaning unknown (used in cleasing sheep)"
ⲕⲉⲣⲉⲁ,"bedspread"
ⲉⲙⲁⲧⲉ,"greatly, very"
ⲁⲅⲁⲡⲁ,"to love (specific sense unclear)"
ⲟⲩⲗⲁⲓ,"polium (a plant)"
ⲗⲁⲡⲛⲓ,"meaning unknown"
ⲁⲣⲓⲣⲉ,"do!"
ⲧⲩⲫⲱⲛ,"donkey (attributive)"
ϩⲟⲥⲟⲛ,"as long as (introduces temporal clauses)"
ⲥⲫⲉⲣⲁ,"ball, globe, sphere (specific sense unclear)"
ⲥⲙⲟⲩⲣ,"moustache"
ⲯⲓⲗⲟⲛ,"unaspirated, soft (consonant)"
ⲁⲛⲟⲛⲓ,"live luxuriously, wantonly"
ⲗⲉⲝⲓⲥ,"(a line of) text, passage"
ⲛⲟⲙⲟⲥ,"law (specific sense unclear)"
ⲁⲣⲕⲟⲥ,"bear"
ⲱⲕⲛⲉⲓ,"to hesitate, delay (object: none)"
ⲙⲓⲅⲙⲁ,"mixture"
ϩⲩⲙⲛⲓ,"to sing (in praise) (object: none)"
ⲥⲟⲫⲟⲥ,"wise one (substantive)"
ⲭⲱⲣⲓⲥ,"without, apart from, not including"
ⲥⲉⲃⲉⲛ,"bandage, selvage"
ⲟⲩⲣⲓⲥ,"name of a plant"
ⲛⲟⲏⲙⲁ,"thought, concept"
ⲥⲕⲏⲛⲏ,"tent, dwelling"
ⲉⲣⲓⲍⲉ,"to quarrel (with s.o.)"
ⲡⲉⲓⲑⲉ,"to persuade, appeal (general or more specific sense unclear)"
ⲯⲁⲗⲗⲓ,"song (object: none)"
ⲙⲛⲏⲙⲏ,"memory"
ⲇⲏⲗⲟⲩ,"to specify s.th., make s.th. clear"
ⲛⲓⲕⲉⲁ,"Nicean (adherent to the Nicene Creed)"
ⲕⲉⲗϥⲓ,"eyelid"
ⲙⲁⲕⲓⲥ,"round pan"
ⲉⲥⲑⲏⲥ,"clothing, clothes"
ⲕⲉⲣⲙⲁ,"coin, money, (small) change"
ⲧⲁⲥⲥⲉ,"to rise up"
ϩⲁⲣⲡⲥ,"outspread hand"
ⲕⲁⲕⲟⲓ,"mucus of nose"
ⲙⲁⲕⲟⲧ,"javelin, dirk, lancea"
ⲁⲕⲙⲏⲛ,"still"
ⲕⲁⲡⲣⲥ,"boar, wild boar"
ⲉⲫⲟⲩⲇ,"ephod (an Israelite priestly garment)"
ⲁⲡⲁⲧⲏ,"deceit(fulness), deception"
ⲁⲅⲛⲓⲁ,"purity, chastity (general or specific sense unclear)"
ⲕⲟⲟⲙϥ,"blight"
ⲁⲗⲕⲟⲩ,"flask"
ⲕⲁⲥⲓⲥ,"metal helmet (instrument of torture)"
ⲡⲁⲓϭⲉ,"mouth (originally perhaps: split, fissure")"
ⲫⲟⲣⲉⲓ,"to bear, carry (object: unclear)"
ⲁⲥⲧⲏⲣ,"star"
ϭⲣⲏϩⲓ,"rawness, immaturity (fruit)"
ⲕⲁⲕⲟⲩ,"to harm, mistreat s.o."
ⲃⲓⲕⲭⲓ,"a plant or fruit"
ⲟⲩⲟⲙϥ,"manger"
ⲕⲁⲥⲓⲁ,"cassia (Cinnamomum iners)"
ⲕⲁⲗⲉⲓ,"to be called, dubbed (object: name of subject)"
ⲕⲏⲣⲟⲩ,"bees-wax"
ⲥⲟⲩⲗⲓ,"veil, covering"
ⲗⲁϩⲙⲉ,"kneading-trough (?)"
ⲙⲁⲧⲉⲙ,"trident, three-pronged fork (used to stir grain)"
ϫⲁⲣⲕ=,"meaning unknown"
ϫⲟⲗⲃⲓ,"(baker's) wooden shovel"
ⲅⲛⲱⲙⲏ,"opinion, doctrine"
ⲥⲟⲉⲓϥ,"senseless, stupid, dumb, astonished"
ⲗⲁϩⲙϥ,"meaning unknown"
ⲧⲣⲩⲫⲏ,"comfort, luxury, delight"
ⲁⲉⲧⲟⲥ,"eagle"
ϫⲉⲙⲙⲟ,"be at ease"
ⲁⲡⲁⲧⲁ,"to mislead, deceive (specific sense unclear)"
ⲅⲁⲙⲟⲥ,"marriage (in general, as an institution)"
ⲧⲓⲙⲁⲛ,"to honor s.o."
ⲕⲁⲙⲃⲏ,"caterpillar"
ⲥⲁⲭⲟⲗ,"muzzle"
ⲡⲁⲡⲁⲥ,"bishop, Papa"
ⲉⲕⲧⲏⲥ,"sixth (year of the indiction cycle) (substantive)"
ⲕⲁⲕⲱⲥ,"bad, badly, miserably"
ⲧⲣⲓⲃⲏ,"rubbing (pejorative reference to sex)"
ⲭⲟⲣⲟⲥ,"choir, group"
ϫⲓⲗⲗⲉⲓ,"shield"
ⲟⲡⲓⲕⲟⲛ,"made of opium (attributive)"
ⲁⲛⲧⲟⲗⲓ,""
ⲕⲉⲣⲃⲟⲩ,"cerberus (mythological beast)"
ϩⲓⲉⲣⲟⲛ,"(Second) Temple (in Jerusalem)"
ⲡⲣⲁⲥⲓⲥ,"deed of sale (substantive)"
ⲫⲣⲁⲅⲙⲁ,"fence"
ⲗⲟⲩⲧⲏⲣ,"bath, baptistry, fountain"
ⲇⲓⲟⲓⲕⲏ,"to expend s.th."
ⲥⲕⲉⲯⲓⲥ,"consideration"
ⲕⲁⲙⲁⲣⲁ,"vault"
ⲥⲕⲉⲩⲟⲥ,"thing, instrument, vessel (specific sense unclear)"
ⲕⲑⲉⲛⲟⲥ,"of comb (attributive)"
ⲙⲟⲣⲓⲟⲛ,"part, division"
ⲁⲓⲧⲓⲟⲥ,"culpable one, responsible one"
ⲃⲗϩⲙⲟⲩ,"Blemys"
ⲁⲛⲁⲙⲏⲓ,"pearl, precious stone"
ⲥⲉⲕⲥⲓⲕ,"sunny place, room"
ⲗⲉⲩⲕⲟⲩ,"light, bright, clear, white (attributive)"
ⲙⲟⲛⲙⲉⲛ,"twisted"
ⲕⲗⲁⲥⲙⲁ,"piece, fragment (of bread)"
ⲁⲝⲓⲱⲙⲁ,"honor, dignity"
ⲱⲫⲉⲗⲉⲓ,"to profit, benefit (object: none; formula always negative, with ⲛ-ⲗⲁⲁⲩ (not at
ⲉⲝⲉⲇⲣⲁ,"veranda (a hall or arcade with places to sit)"
ⲇⲟⲕⲓⲙⲏ,"test"
ⲥⲡⲉⲣⲙⲁ,"seed (general, or specific sense unclear)"
ⲕⲁⲧⲁⲣⲁ,"curse"
ⲉⲅⲗⲁⲃⲉ,"to take, receive s.th."
ⲯⲁⲗⲗⲉⲓ,"to sing, make music (object: none)"
ⲝⲉⲛⲓⲟⲛ,"a tax providing for itinerant officials"
ⲉⲗⲕⲉⲙⲏ,"meaning unknown"
ⲁⲡⲉⲓⲗⲏ,"threat"
ϩⲣⲏⲧⲱⲣ,"public speaker, advocate (substantive)"
ⲕⲉⲇⲣⲟⲥ,"cedar tree"
ⲭⲁⲩⲗⲟⲥ,"stem (of a plant)"
ⲉⲗⲃⲓϫⲓ,"meaning unknown"
ⲗⲟⲓⲡⲟⲛ,"from now on, henceforth (in first position)"
ⲁⲅⲁⲑⲟⲥ,"good one, person (substantive; general, or specific sense unclear)"
ⲫⲣⲁⲥⲓⲥ,"expression, idiom (specific sense unclear)"
ⲕⲟⲗⲡⲟⲥ,"bosom (pl. usage)"
ⲗⲓⲭⲛⲟⲥ,"lamp (of an altar)"
ϩⲏⲗⲓⲟⲥ,"sun"
ⲫⲩⲗⲁⲕⲏ,"prison, custody"
ⲉⲝⲉⲗⲉⲓ,"to go free, be set free (object: none)"
ⲥⲉⲗⲓⲛⲏ,"celery, Apium graveolens (attributive)"
ⲥⲡⲟⲛⲇⲏ,"libation (wine offered to spirits at sacrifice)"
ⲕⲉⲗⲗⲟϫ,"puppy, whelp"
ⲁⲗⲱⲟⲩⲉ,"bunch (of grapes)"
ⲙⲉⲗⲉⲧⲁ,"to take care of, to attend to s.th."
ⲁϭⲟⲗⲧⲉ,"wagon, cart"
ⲁⲡⲣⲏⲧⲉ,"space of time"
ⲙⲓⲥⲑⲟⲥ,"income"
ⲁⲓⲧⲏⲙⲁ,"request, demand"
ⲟⲩⲟⲩⲕⲉ,"break, nip"
ⲉⲙⲛⲉⲩⲓ,"Mnevis bull"
ⲡⲣⲁⲅⲙⲁ,"matter, affair"
ⲥⲓⲭⲁⲛⲉ,"to loathe, despise s.o."
ⲡⲗⲏⲣⲟⲩ,"to fulfill, complete (object: unclear)"
ⲑⲏⲥⲓⲁⲥ,"offering, sacrifice (general)"
ⲁⲣⲉⲥⲕⲉ,"to please (object: unclear)"
ⲑⲉⲱⲣⲉⲓ,"to look (no object)"
ⲍⲉⲛⲍⲉⲛ,"lizard, chameleon"
ϩⲩⲡⲱⲣⲁ,"fruits"
ⲛⲟⲃⲣⲟⲩ,"marsh mallow"
ⲕⲉⲣⲁⲍⲉ,"to mix, dilute s.th."
ⲙⲟⲩⲗⲱⲗ,"meaning unknown"
ⲃⲗⲃⲁⲧⲥ,"dung"
ⲟⲩⲁϭⲡⲥ,"unknown meaning (cf. ⲟⲩⲱϭⲥ ?)"
(ⲧⲃⲕⲟ),"send"
ⲛⲟⲏⲧⲟⲥ,"intelligible (specific sense or usage unclear)"
ⲡⲣⲉⲡⲟⲛ,"to be suitable, fitting (object: none)"
ⲕⲁⲗⲉⲗⲉ,"sonorous wooden board"
ⲁⲗⲁⲥⲱϯ,"army"
ϩⲟⲡⲗⲟⲛ,"arms (specific sort of arms unclear)"
ⲁⲥⲭⲁⲣⲁ,"hearth, fire-place"
ⲥⲙⲉⲗⲓⲛ,"knife"
ⲧⲣⲓⲕⲟⲛ,"turtle dove"
ⲁⲥⲟⲫⲟⲛ,"unwise one"
ⲉⲛⲛⲁⲧⲏ,"ninth (year of the indiction cycle) (substantive)"
ⲁⲛⲧⲏⲗⲙ,"skull, brain"
ⲁϣⲉⲃⲉⲛ,"enchanter"
ⲅⲣⲁⲫⲉⲓ,"to write s.th."
ⲁⲥⲫⲟⲩⲓ,"first year of reign"
ϣⲟⲕϣⲉⲕ,"dig, pick, hollow"
ⲁⲡⲟⲣⲉⲓ,"to be in doubt, to be puzzled (object: none)"
ⲇⲣⲩⲙⲟⲥ,"coppice, thicket"
ⲁⲣⲓⲥⲧⲁ,"to dine, have a meal"
ⲭⲟⲣⲏⲙⲁ,"(empty) space"
ϩⲩⲙⲛⲟⲥ,"hymn"
ⲗⲁⲙⲣⲏⲧ,"a herb"
ⲙⲁⲛⲕⲟⲩ,"meaning uncertain"
ϩⲉⲧⲁⲍⲉ,"to test s.o."
ⲧⲉⲗⲉⲓⲁ,"perfect (attributive)"
ⲙϣⲧⲱⲧⲉ,"comb"
ⲙⲁⲣⲧⲩⲥ,"witness, martyr (non-Christian)"
(ϥⲱⲧⲥ),"be broad, splayed (?)"
ⲉⲩⲛⲟⲓⲁ,"favor, goodwill"
ⲡⲁⲧⲣⲓⲁ,"ancestral lineage"
ⲁⲛⲁⲡⲁⲓ,"hen"
ⲉⲛⲟⲩⲛⲅ,"a plant: fleabane"
ⲗⲟⲃⲗⲉⲃ,"feel violent love"
ⲁⲅⲅⲉⲗⲓ,"to bear a message, announce s.th. (introduces announcement)"
ⲕⲣⲓⲧⲏⲥ,"judge"
ⲁⲡⲁⲗⲁϥ,"meaning unknown"
ⲇⲁⲛⲁⲓⲥ,"woman who suffers the fate of the Danaädes in Greek tragedy"
ⲁⲛⲑⲟⲩⲥ,"(species of) lizard"
ⲕⲁⲙⲁⲣⲉ,"chamber, room"
ⲥⲧⲩⲗⲟⲥ,"pillar"
ⲃⲟⲧⲁⲛⲏ,"growth, plant"
ⲧⲣⲟⲭⲟⲥ,"wheel"
ⲁⲛⲏⲑⲟⲩ,"dill"
ⲃⲉⲣⲥⲓϯ,"basket (holding bread)"
ⲧⲫⲉⲣⲓⲟ,"corrupt, expel, uproot"
ⲟⲕⲧⲟⲏⲥ,"eighth (attributive)"
ⲡⲩⲝⲓⲟⲛ,"tablet"
ⲓⲃⲉⲣⲟⲥ,"Iberian (i.e. Georgian)"
ⲣⲟⲙⲥⲓⲛ,"a plant"
ⲁⲕⲩⲣⲟⲩ,"to reject, devaluate s.th."
ϩⲟⲣⲓⲍⲉ,"to set apart, delimit s.o."
ⲕⲟⲣⲧⲉⲛ,"house-leek"
ϩⲟⲡⲟⲧⲉ,"whereas, when in fact (introduces conditional clause)"
ⲛⲟⲉⲣⲟⲛ,"intellectual, spiritual (syntactic usage unclear)"
ⲁⲡⲁⲛⲧⲏ,"meeting, encounter"
ⲕⲟⲓⲛⲟⲥ,"communal, in common (attributive)"
ⲁⲡⲓⲣⲟⲛ,"infinity (substantive)"
ⲁⲥⲉⲃⲏⲥ,"impious (substantive)"
ⲇⲓⲕⲁⲍⲉ,"to judge s.o."
ϫⲟⲣⲃⲉⲥ,"a (small?) vessel"
ⲇⲏⲙⲉⲩⲉ,"to seize s.th. as public property"
ⲟⲩⲉⲓⲕⲉ,"be damaged"
ⲕⲏⲫⲉⲟⲥ,"an Egyptian compound incense"
(ⲟⲩⲱϩ),"explain, interpret"
ⲃⲣⲟⲛⲧⲏ,"thunder"
ⲁⲗⲟⲩⲗⲁ,"an insect (locuste or louse?)"
ⲙϩⲁⲟⲩⲉ,"family"
ⲕⲁⲑⲁⲣⲓ,"to be clean"
ⲕⲟⲗⲧⲁϧ,"colocasia"
ⲡⲥⲓⲏⲅⲉ,"rub smooth, mix up s.th. with s.th."
ⲁⲛⲟⲙⲟⲛ,"lawless thing, deed (substantive)"
ⲉⲥⲭⲁⲣⲁ,"scab, eschar (on a wound caused by burning or otherwise)"
ⲃⲁⲧⲁⲛⲉ,"a dish"
ⲉⲛⲇⲩⲙⲁ,"cloth, fabric"
ⲃⲇⲉⲗⲗⲏ,"leech"
ⲛⲁⲣⲇⲓⲝ,"casket, (medicine) box"
ⲭⲟⲣⲧⲟⲥ,"grass"
ⲥⲕⲓⲣⲧⲁ,"to leap (object: none)"
ⲕⲱⲙⲉⲱⲥ,"gum"
ⲃⲓⲃⲗⲟⲥ,"book"
ⲡⲁⲛⲧⲱⲥ,"certainly, surely, truly, obviously (specific sense or usage unclear) (emphasizes
ⲛⲁⲣⲇⲟⲥ,"(oil of) nard"
ⲯⲩⲭⲓⲕⲏ,"of a soul-like (psychic") substance; ensouled, animate (substantive; being of a psychic
ⲱⲫⲉⲗⲓⲁ,"wellbeing/benefit/advantage of/for s.o."
ⲕⲁⲡⲛⲟⲥ,"smoke"
ⲉⲓⲣⲉⲱⲥ,"the purple Iris (Iris germanica)"
ⲁⲅⲁⲡⲁⲛ,"to love (specific sense unclear)"
ⲟⲣⲟⲃⲟⲩ,"bitter vetch, Vicia Ervilia"
ⲥⲕⲉⲛⲱⲛ,"tent/awning (?)"
ⲕⲟⲓⲛⲟⲛ,"community"
ⲥⲟⲩⲣⲟⲧ,"myrobalan"
ⲡⲣⲁⲥⲥⲁ,"to act, behave with regard to s.th."
ⲗⲁⲕⲁⲛⲏ,"flask"
ⲗⲏⲅⲓⲟⲛ,"dyer's buckthorn, lycium, Rhamnus petiolaris"
ⲥⲧⲁⲅⲱⲛ,"drop"
ⲁⳉⲁⲣⲉ-,""
ϩⲣⲉⲩⲙⲁ,"flux, stream, rheumatism"
ⲇⲁϥⲛⲏⲥ,"sweet bay (Laurus nobilis) (substantive)"
ϩⲉⲑⲛⲟⲥ,"unclear: nation(s) or heathen or rather both"
ⲕⲁⲫⲱⲣⲁ,"camphor"
ⲃⲗⲏⲥⲓⲥ,"gift/bestowal (?)"
ⲙⲏⲡⲟⲧⲉ,"(unclear)"
ⲉⲟⲩⲱⲧ⸗,"hail!"
ⲟⲩⲁϩⲣⲉ,"unknown meaning (a tool, feeding through?)"
ⲅⲛⲱⲥⲓⲥ,"knowledge (specific sense unclear)"
ⲅⲣⲁⲙⲡⲉ,"cabbage (attributive)"
ⲥⲭⲓⲥⲙⲁ,"religious schism, rift, division"
ⲫⲟⲛⲡⲉⲛ,"overflow"
ⲕⲁϣⲙⲟⲩ,"meaning unknown"
ⲥⲭⲉⲇⲟⲛ,"nearly, almost"
ϣⲁϩϣⲉϩ,"be harsh, rough"
ⲉⲛⲛⲟⲓⲁ,"mind, faculty of thinking, consciousness"
ⲭⲟⲓⲕⲟⲥ,"being of an earthly substance (as opposed to spiritual or psychic substance)
ⲟⲙⲟⲓⲱⲥ,"likewise, in like manner (specific construction or usage unclear)"
ⲁⲣⲁⲃⲟⲥ,"Arab"
ⲥⲉⲙⲛⲟⲛ,"august, honorable (attributive)"
ⲁⲡⲁⲛⲧⲁ,"to meet, encounter (object: none or unclear)"
ⲙⲉⲣⲓⲍⲉ,"to separate, divide s.th. from s.th."
ⲃⲟⲏⲑⲉⲓ,"to help (object: none)"
ⲭⲁⲙⲉⲟⲥ,"low-life, commoner"
ⲁⲛⲑⲣⲁⲝ,"ruby, precious red gem (substantive)"
ⲑⲉⲣⲙⲟⲛ,"heat (substantive)"
ⲅⲣⲁⲙⲙⲁ,"a small weight, gram, scruple (1/24 ounce)"
ⲁⲡⲁⲣⲭⲏ,"first-fruit (general, or more specific sense unclear)"
ⲛⲉϩⲃⲏⲗ,"wine-skin"
ⲇⲱⲣⲓⲍⲉ,"to donate s.th./s.o."
ⲥⲏⲙⲁⲛⲉ,"to indicate, suggest (specific sense or usage unclear)"
ⲉⲕⲗⲟⲅⲏ,"selection"
ⲕⲁⲗⲗⲟⲥ,"beauty, beautiful appearence"
ⲃⲁⲥⲟⲩⲣ,"antimony"
ⲥⲕⲟⲣⲉⲁ,"dross of metal, slag"
ⲫⲁⲥⲫⲉⲥ,"wiles"
ⲉⲡⲓⲝⲓⲥ,"haste, hurry"
ⲉⲩⲡⲟⲣⲓ,"to advance, support, push forward s.th."
ⲗⲟⲓⲙⲟⲥ,"plague, disease, pestilence"
ⲇⲟⲣⲕⲁⲥ,"gazelle"
ⲑⲟϥⲧⲉϥ,"let fall drop by drop"
ⲥⲧⲓⲅⲙⲏ,"point (punctuation)"
ⲧⲣⲓⲥⲕⳇ,"thirteenth (attributive)"
ⲁⲓⲧⲓⲟⲛ,"cause, reason"
ⲗⲓⲕⲛⲟⲛ,"scale/measure for weighing coins"
ⲃⲉⲗⲑⲱⲛ,"lion"
ⲅⲉⲛⲛⲉⲁ,"noble one (substantive)"
ϩⲉⲕⲧⲟⲛ,"sixth (part) (substantive)"
ⲫⲩⲁⲗⲟⲛ,"bowl"
ⲙⲁⲙⲣⲉϩ,"meaning unknown"
ⲑⲟⲩⲙⲟⲥ,"Cretan thyme, Thymbra capitata"
ⲫⲱⲥⲧⲏⲣ,"illuminator (specific sense unclear)"
ⲡⲗⲁⲥⲓⲥ,"molding, formed object"
ⲕⲁⲧⲉⲭⲉ,"to delay, hold back until s.th. happens (with limitative)"
ⲗⲟⲩⲡⲁⲥ,"pan, dish"
ⲫⲑⲟⲛⲉⲓ,"to be envious, bear ill-will (object: none)"
ⲅⲁⲡⲁⲣⲓ,"(seed from the) caper-plant"
ϫⲁϫⲟⲙⲓ,"hoe (?)"
ⲡⲓⲥⲧⲓⲥ,"faith (specific sense unclear)"
ⲡⲩⲣⲅⲟⲥ,"tower"
ⲙⲉⲧⲉⲭⲉ,"to partake in (precise sense unclear)"
ⲇⲓⲥⲙⲟⲥ,"bond, fetters"
ⲡⲗⲁⲥⲙⲁ,"handiwork, thing fashioned"
ⲡⲁⲛⲇⲓⲁ,"(that which is) immanent"
ⲕⲣⲟⲕⲟⲩ,"saffron (substantive)"
ⲕⲉⲣⲉⲓⲁ,"grave-cloth"
ⲟⲩⲁϣⲉⲣ,"workshop, carpenter's workshop (in a monastery) (?)"
ⲗⲩⲭⲛⲓⲁ,"lamp, lampstand"
ⲕⲁⲧⲟⲭⲏ,"ownership, possession"
ⲕⲉⲗⲉⲩⲉ,"to command (specific sense or usage unclear)"
ⲙⲓⲁⲕⲏⲥ,"shells, pearl-shells"
ⲁⲗⲗⲁⲅⲏ,"change, exchange"
ⲙⲉⲑⲁⲓⲟ,"carthamus, safflower"
ⲕⲩⲣⲓⲱⲥ,"properly, strictly, actually"
ⲇⲉⲓⲝⲟⲛ,"to explain, show s.th."
ⲕⲟⲕⲕⲟⲥ,"scarlet thing (substantive; specific sense unclear)"
ⲕⲁⲓⲣⲟⲥ,"time (specific sense unclear)"
ⲧⲁⲙⲓⲁⲥ,"treasurer"
ⲗⲉⲉⲓⲗⲉ,"be pointed, high"
ⲯⲁⲗⲙⲟⲥ,"religious song, psalm"
ⲁⲫⲟⲣⲙⲏ,"opportunity, occasion"
ⲕⲣⲓⲥⲓⲥ,"judgment (specific sense unclear)"
ⲙⲟⲩⲗⲁϫ,"night raven, owl"
ⲉⲣⲁⲓⲟⲩ,"go, travel (?)"
ⲛⲓⲧⲣⲟⲛ,"natron, sodium carbonate"
ⲙⲏⲭⲁⲛⲏ,"machine"
ϣⲟⲧⲣⲉϥ,"falcon"
ϩⲁⲅⲛⲟⲛ,"holy, sacrosanct one (substantive)"
ⲁⲃⲉⲣⲏϫ,"rubellite"
ⲥⲧⲣⲱⲙⲁ,"blanket/mat"
ϭⲁⲛⲛⲁⲥ,"meaning unknown"
ⲭⲁⲣⲧⲓⲛ,"document (substantive)"
ⲁⲅⲅⲓⲟⲛ,"vessel, flask, amphora, container"
ⲕⲟⲓⲧⲱⲛ,"bedroom"
ⲡⲁⲛⲁⲣⲉ,"basket"
ⲧⲉⲧⲟⲩⲉ,"unknown meaning"
ⲕⲗⲁⲇⲟⲥ,"branch"
ⲓⲟⲩⲇⲁⲓ,"Jew (substantive)"
ⲙⲟⲭⲗⲟⲥ,"bar, bolt, lock"
ⲉⲓⲙⲏⲧⲓ,"unless, except (specific sense unclear)"
ⲧⲉⲧⲣⲁⲥ,"group of four (general, or more specific sense unclear)"
ⲭⲉⲣⲥⲟⲥ,"dry land"
ⲥⲕⲓⲗⲗⲁ,"squill"
ⲙⲁⲩⲣⲉⲥ,"jug, jar"
ⲧⲉⲙⲑⲁⲙ,"mule"
ⲛϣⲁⲣⲉ-,"relative converter aorist"
ⲉⲗⲉⲫⲁⲥ,"elephant"
ⲡⲓⲥⲧⲟⲩ,"to act in faithful manner, to show oneself to be faithful"
ⲇⲁⲓⲙⲱⲛ,"demon, spirit (disposition unclear)"
ⲗⲟⲕⲟϫⲓ,"holokottinos, solidus / dinar (solidus: Byzantine gold coin; in Islamic times:
ⲥⲩⲛⲉⲭⲉ,"to be kept in s.th. (object: state)"
ⲡⲟⲣⲛⲟⲥ,"fornicator"
ⲕⲣⲓⲛⲓⲛ,"to judge s.o."
ⲁⲥⲧⲓⲟⲥ,"distinguished, elegant (substantive)"
ⲗⲟⲓⲡⲁⲥ,"remainder, rest"
ⲁⲡⲁⲧⲁⲛ,"to mislead, deceive (specific sense unclear)"
ⲥⲉⲣⲫⲱⲧ,"insect (?) depositing worm (maggot) in sheep"
ⲡⲁⲓⲇⲓⲁ,"(Greek) education"
ⲇⲁⲙⲁⲍⲉ,"to subdue s.o."
ⲗⲉⲅⲉⲱⲛ,"legion"
ⲙⲁⲅⲉⲓⲁ,"(black) magic, sorcery"
ⲡⲉⲛⲑⲟⲥ,"grief, sorrow"
ⲕⲟⲗⲕⲉⲗ,"meaning unknown"
ⲭⲁⲣⲓⲍⲉ,"to give, to grant (object: unclear)"
ⲕⲟⲩⲫⲁⲧ,"carpet, mattress (?)"
ⲙⲟⲓⲭⲟⲥ,"adulterer"
ⲗⲁⲡⲯⲁⲛ,"wild mustard, charlock"
ⲃⲩⲃⲓⲟⲛ,"firm, confirmed, dependable"
ⲕⲩⲕⲗⲟⲥ,"circuit, circle, cycle"
ⲇⲓⲡⲛⲉⲓ,"to dine, to feast"
ϥⲣⲉⲕⲟⲛ,"herald"
ⲁⲣⲟⲟⲩⲉ,"burr, thistle"
ⲛⲩⲙⲫⲱⲛ,"bridal chamber"
ⲁⲙⲏⲗⲟⲩ,"starch"
ⲕⲩⲗⲗⲟⲥ,"deformed, club-footed (substantive)"
ⲕⲁⲓⲅⲁⲣ,"for, in fact (as one would translate simply γάρ) (introduces explanatory clause)"
ⲃⲣⲉϣⲏⲩ,"coriander seed"
ⲕⲓⲥⲥⲟⲥ,"of ivy, of Hedera helix (attributive)"
ⲡⲁⲗⲁⲓⲁ,"old (inverted attributive; attributive referent)"
ϫⲓⲉⲓⲗⲉ,"a vegetable"
ⲕⲟⲩⲫⲱⲛ,"empty-handed"
ⲥⲩⲗⲉⲩⲉ,"to rob s.o."
ⲁⲅⲣⲓⲟⲥ,"wild one (substantive)"
ⲡⲣⲉⲡⲉⲓ,"to be suitable, fitting (specific sense / object unclear)"
ⲧⲣⲟⲡⲟⲥ,"way, manner, fashion"
ⲉⲝⲉⲥⲧⲓ,"it is permitted, right (object: none)"
ⲕⲁⲓⲥⲁⲣ,"Caesar"
ⲗⲁⲕⲕⲟⲥ,"cistern (cavity in the ground for storing water)"
ⲛⲟⲉⲣⲟⲥ,"(abstract) intelligence (substantive)"
ⲙⲱⲛⲁⲭⲏ,"nun"
ⲉⲡⲏⲣⲓⲁ,"abuse, ill-treatment, insult, insolence"
