ⲟ,"great"
ⲭⲓϥⲧ,"flowering plant of the genus Pulicaria""
ⲁⲙϣⲓ,"rope"
ⲗⲏⲭⲏ,"lichen, tree-moss"
ⲉⲙⲟⲩ,"cat"
ⲙϣⲓⲣ,"name of the 6th month"
ⲉⲗⲁⲙ,"a measure or quantity (applied to papyrus and ? loaves)"
ϩⲛⲁⲩ,"flowering branch (of palm)"
ⲉⲡⲏⲡ,"name of 11th month"
ⲡⲣⲟⲥ,"(usage unclear)"
ⲗⲁⲁⲩ,"a textile material"
ϭⲱⲧⲥ,"bend, lower"
ϭⲗⲏⲃ,"muzzle"
ϣⲕⲱϯ,"bobbin, reel"
ⲟⲩⲱⲛ,"part"
ⲧⲁϥⲉ,"unknown meaning"
ⲡⲗⲁⲝ,"flat stone, tile, tablet (for covering s.th.)"
ⲁⲩⲗⲏ,"courtyard"
ⲁⲃⲃⲁ,"Abba (monastic title, like Apa also used of saints)"
ⲭⲓⲱⲛ,"snow"
ⲗϩⲱⲃ,"steam, vapour"
ⲫⲓⲕⲉ,"to flee, take flight (object: none)"
ϭⲓⲱϯ,"tip (of scorpion's tail)"
ⲟⲝⲏⲥ,"vinegar"
ⲥⲗⲱⲗ,"meaning unknown"
ϩⲁⲕⲓ,"an (iron?) device"
ⲇⲩⲁⲥ,"dyad (group of two primordial entities)"
ⳉⲱϣϥ,"be broken, be destroyed"
ⲁϫⲛ-,"without"
ⲑⲱⲃϣ,"influence (astrological)"
ⲗⲁⲟⲥ,"people (specific sense unclear)"
ⲗⲁⲗⲉ,"smear, paint, overlay"
ϫⲧⲁϩ,"prison (?)"
ⲁⲩϭⲉ,"all together"
ⲧⲩⲭⲏ,"providence, fate, fortune"
ⲧⲓⲙⲁ,"to honor s.o."
ⲕⲁⲯⲁ,"basket, casket, box, case"
ϫⲱⲛϫ,"colocynth (bottle gourd)"
ⲉⲧⲟϩ,"a garment or certain length of stuff"
ⲟⲩⲁϩ,"pole, stick"
ϭⲉⲗⲓ,"butter"
ⲁⲗⲕⲉ,"last day of month"
ⲃⲱⲱϩ,"an idol at Alexandria"
ϭⲉⲗⲉ,"weasel (?)"
ⲕⲣⲓⲥ,"skin?"
ⲁⲗⲁⲩ,"white"
ⲕⲱⲃϩ,"sinew, cord"
ϫⲱⲟⲩ,"generation"
ⲧⲟⲛⲱ,"strike"
ⲑⲣⲓⲙ,"quicksilver"
ⲕⲓⲩⲏ,"meaning unknown"
ⲙⲏⲧⲓ,"(question marker) (specific sense unclear)"
ⲉⲓⲙⲏ,"unless, except that"
ϫⲟⲩⲗ,"fragment"
ⲉⲣⲏⲩ,"fellow, companion"
ⲟⲣⲃⲉ,"wafer, thin cake"
ⲕⲗⲁⲗ,"chain"
ⲉⲛⲓⲙ,"draw lots"
ⲛⲓⲕⲏ,"victory"
ⲙⲁⲣⳇ,"I bear witness" / to bear witness"
ⲭⲱⲣⲓ,"to describe s.o."
ⲥⲩⲗⲁ,"to rob s.o."
ⲁⲛⲧⲓ,"instead of"
ⲡⲗⲏⲛ,"but, nevertheless, however (adversative)"
ⲉⲝⲁⲥ,"hexad (group of six)"
ⲛⲟⲩⲥ,"mind, intellect (specific sense unclear)"
ⲉⲙⲏϣ,"anvil"
ⲥⲟⲧⲉ,"a measure (?)"
ⲧⲁⲭⲩ,"quickly"
ϫⲗⲁϣ,"little water drop"
ⲟⲙⲟⲩ,"together"
ⲩⲇⲱⲣ,"water"
ⲙⲣⲓⲥ,"new wine, must"
ⲱⲡⲓϣ,"broad river-bed"
ⲧⲟⲧⲉ,"then (specific sense or usage unclear)"
ⲗⲁϫⲓ,"latrine (of ship)"
ⲧⲣⲁⲡ,"a metallic ustensil"
ⲃⲣⲃⲉ,"vessel or receptacle (holding a medicinal mixture) (?)"
ⲡⲏⲅⲏ,"fountain, well, spring, source (of water)"
ⲥⲧⲏⲙ,"powdered antimony; kohl, stibium"
ⲁⲅⲓⲁ,"holy (inverted attributive; attributive referent)"
ⲕⲁⲧⲟ,"boat, skiff"
ⲉⲓⲕⲏ,"without cause"
ϩⲉⲗⲓ,"fear"
ⲁⲗⲟϭ,"thigh"
ⲡⲏⲣⲁ,"knapsack, traveller's bag"
ⲫⲱϧⲓ,"shark"
ⲁϩⲟⲙ,"sigh, groan"
ⲉⲙⲓⲙ,"shrew mouse"
ⲛⲓⲕⲁ,"victory (in requests and formulas)"
ϩⲩⲗⲏ,"wart, callus"
ⲁⲥⲁϥ,"bark, rind of caper-root"
ⲃⲱⲛⲉ,"meaning unknown, presumably an edible"
ⳉⲁⲧⲉ,"pluck out"
ⲥⲩⲅⲏ,"pair"
ⲛⲟⲟⲛ,"mind, intellect"
ⲗⲟⲅⲏ,"plea, case"
ⲕⲟⲣⲓ,"skylight, trapdoor"
ⲛⲓⲛⲉ,"nothing"
ϩⲓⲛⲁ,"so that, in order that (introduces purpose clause)"
ⲥⲩⲣⲉ,"to drag (oneself) over s.th. (e.g. the ground)"
ⲑⲏⲛⲓ,"sprout, grow"
ⲟⲩⲁ-,"to be about to"
ϭⲗⲁⲙ,"kindle"
ϫⲉϫⲥ,"ingot (of metal)"
ϫⲉⲗⲱ,"carry, raise"
ⲕⲟⲩⲣ,"blow (prob. deafening blow)"
