N,𒌋𒌆𒇻,dulu,"trouble"
N,𒂁𒁺,duk+du,"almond (tree)"
N,𒂦𒀭,duuru,"(city) wall; permanence"
N,𒅁𒄑𒋢,ebisu,"(roped-up) bundle"
AJ,𒅎𒁺,emdu,"imposed"
N,𒅎𒌋,emu,"father-in-law"
AJ,𒂗𒋗,enxu,"weak"
N,𒅁𒅕𒌅,epertu,"(baked) brickwork; bank"
AJ,𒅁𒋗,epxu,"made; made/sacrificed"
N,𒅕𒁍,erbu,"income; (sun)set"
N,𒅕𒋗,erxu,"bed"
AJ,𒀉𒆪,etku,"alert"
AJ,𒌍𒋗,exu,"new"
AJ,𒄑𒁺,ex+du,"harvested"
N,𒄑𒅎𒌅,ex+emtu,"unit"
AJ,𒄑𒊒,ex+ru,"drawn"
N,𒃵𒂷𒌋,gamalu,"camel"
AJ,𒃵𒊒,gamru,"complete"
N,𒄤𒍝𒌅,gax+atu,"firewood"
N,𒄫𒊒,geru,"way; (a big jar); release"
N,𒁶𒊒,gimru,"totality; (a sacrificial sheep)"
N,𒄑𒈪,gizu,"shearing"
N,𒄑𒊒,gixru,"(wooden) bar"
N,𒍝𒄢𒀠𒇻,gugalu,"canal inspector"
N,𒄢𒂁,gulutu,"column-base; (an ornament in the shape of) column-base"
N,𒄣𒀝𒀀𒆗,gumakilu,"(a wooden item)"
AJ,𒆸𒌅,habtu,"robbed"
CNJ,𒉺𒄿,hadi,"either"
AJ,𒄬𒄣,halk+u,"lost"
N,𒄩𒊩𒌨𒌋,hanik+u,"strangler"
AJ,𒄯𒁺,hardu,"watchful"
N,𒄯𒌨𒌅,harurtu,"throat"
AJ,𒄯𒍮,harx+u,"broken off"
N,𒋻𒀭𒉡,hazanu,"mayor"
N,𒋻𒁍,hax+bu,"pottery"
AJ,𒄽𒇧𒌋,hubulu,"indebted"
N,𒄽𒌌,hubulu,"debt"
N,𒄽𒁍,hupu,"(a kind of basket)"
AV,𒄯𒊑,huri,"ever (after)"
N,𒄷𒂟,hux+aabu,"twig"
N,𒀉𒌋,idu,"arm"
N,𒅅𒋼𒀀𒌋,ikaru,"farmer"
N,𒅋𒆪,ilku,"state service"
N,𒅎𒀴,imeru,"(meaning unclear)"
N,𒃮,irtu,"breast"
N,𒄑𒂠𒆳𒌋,ishunatu,"bunch of grapes"
N,𒉺𒊺𒉡,isinu,"festival"
AV,𒄑𒋩𒊑,isuri,"perhaps"
N,𒌗𒉡,itinu,"builder"
N,𒅖𒌓𒌅,ixpartu,"female weaver"
N,𒄑,ix+u,"tree"
N,𒆏𒈗,kabxaru,"stone-carver"
N,𒆕𒅈𒁷𒉡,kakardinu,"victualler"
N,𒆕𒆪,kaku,"stick"
AJ,𒄰𒋢,kamsu,"squatting"
N,𒃶𒉡,kanu,"(vessel‑)stand; fringe; (vessel-)stand; shoot"
N,𒆏𒁍,kapu,"hand"
N,𒋼𒀀𒅔𒌅,karintu,"(meaning unknown)"
AJ,𒋼𒀀𒆪,karku,"rolled"
AJ,𒋼𒀀𒈬,karmu,"delayed; stored"
N,𒋼𒀀𒈬,karmu,"heap"
AJ,𒆜𒁍,kaspu,"broken"
N,𒆜𒁍,kaspu,"silver"
AJ,𒆜𒋢𒁍,kasupu,"broken"
N,𒄫𒆪,kerku,"roll"
N,𒄒𒋢,kibsu,"track"
N,𒆥𒀜𒌅,kinatu,"employee"
N,𒄒𒁍,kipu,"loop"
N,𒆦𒇻,kisalu,"courtyard"
N,𒆠𒋀𒆕𒌅,kisatu,"fodder"
AJ,𒆲𒉡𒋗,kunuxu,"assembled"
N,𒆳𒁹𒋗,kurdixu,"(a storage facility for straw)"
N,𒆳𒉆𒌅,kursimtu,"scale"
N,𒂊𒋤𒄽𒁹𒆳𒌋,kurumatu,"ration"
N,𒋻𒀠𒇻,kutalu,"back"
N,𒋢𒅁𒁍,kuzipu,"cloak"
AJ,𒆗𒌅,laptu,"touched"
N,𒆳𒁇𒌋,madbaru,"steppe"
N,𒆳𒋺𒌅,madatu,"payment"
AJ,𒈤𒍮,mahx+u,"beaten"
N,𒈠𒃼𒋥𒌋,mak+aratu,"bale (of straw)"
N,𒈠𒃼𒌅,mak+artu,"(a kind of vessel)"
QP,𒆳𒄿,mati,"when?"
N,𒈦𒂗𒉡,maxenu,"(an administrator)"
N,𒈦𒃶𒌋,maxkanu,"tent; place of putting"
N,𒈦𒆪,maxku,"skin"
N,𒈦𒂊𒋤𒄽,maxkuru,"(inflatable) animal skin"
N,𒈦𒋡,maxk+û,"watering place"
N,𒈤𒊒,mehru,"colleague; (a conifer); copy"
NU,𒈨𒀪𒌅,meʾatu,"(one) hundred"
N,𒆪𒀭𒌅,midatu,"measure"
NU,𒈩𒇻,mixlu,"half"
V,𒈮𒄥,muguru,"tear down"
PRP,𒈮,muk,"saying"
N,𒈮𒅔𒉡,mukinu,"witness"
N,𒁵𒅘𒊒,munagru,"hired man"
N,𒈲𒅈𒆧𒌋,muxarkisu,"(military) procurement officer"
AJ,𒈲𒇻,muxlu,"similar"
N,𒈬𒉌𒇻,mux+alu,"afternoon"
N,𒅘𒆗𒌋,naglabu,"razor; shoulder"
AJ,𒅘𒄯,nagmuru,"finished"
N,𒈛𒀠𒇻,nahalu,"stream"
AJ,𒅘𒋢,naksu,"cut (off)"
N,𒉀𒀭𒁺,namadu,"measurement"
N,𒀮𒋗,napxu,"life"
N,𒅘𒋸,nak+utu,"critical situation"
N,𒉏𒊏𒀪,nimraʾu,"(a garment)"
N,𒉏𒊒,nimru,"leopard"
N,𒊩𒌨𒀉𒌅,nik+itu,"anxiety; retaliation"
N,𒌋𒌋𒄷,nishu,"extract(ion); diarrhoea"
N,𒉡𒁁𒌅,nubatu,"evening (rest); everning (rest)"
N,𒉡𒉺𒅎𒈬,nuhatimu,"cook"
N,𒉡𒋼𒀀𒅁𒁍,nukaribu,"gardener"
N,𒄷𒊒,pagru,"body"
AJ,𒈜𒊒,pahru,"gathered"
AJ,𒁄𒄷,palhu,"fearful"
N,𒁄𒇺𒌋,palixu,"(stone) borer"
AJ,𒉼𒋐𒌋,panugu,"meaning unknown"
