word,translation,pronunciation
helpful,מועיל,moiil
hurtful,מזיק,me+zik
graceful,מעודן,me+udan
casual,אגבי,agavii
formal,רשמי,rixmii
tight,הדוק,haduk
hairy,שעיר,sa'ir
hairless,חסר שיער,h+asar se+'ar
happy,שמח,same+ah+
sad,עצוב,atsuv
angry,כועס,ko'e+s
confused,מבולבל,me+vulbal
patient,סבלני,s+avlanii
calm,רגוע,ragu'a
wild,פראי,pir'ii
hard,קשה,kaxe
soft,רך,rah+
solid,מוצק,mutsak
liquid,נוזל,nozel
gaseous,גזי,gazii
hearty,לבבי,le+vavii
robust,חסון,h+ason
quality,איכות,eh+ut
high,גבוה,gavo(ha+)
low,נמוך,namoh+
on,דלוק,daluk
off,כבוי,kavoii
hot,חם,h+am
freezing,קפוא,k+afoo
hungry,רעב,ra'e+v
thirsty,צמא,tsa'me+
last,אחרון,ah+aron
late,מאוחר,me+oo'h+ar
early,מוקדם,m+ukdam
significant,משמעותי,maxmautii
loud,רועש,roe+x
quiet,שקט,xake+t
primary,ראשי,raxii
secondary,משני,mixnii
main,עיקרי,ikarii
constant,תמידי,tmidii
ready,מוכן,moh+an
narrow,צר,tsar
wide,רחב,rah+av
necessary,הכרחי,h+eh+re+h+i
offensive,התקפי,hetke+fi
opposite,הפך,he+fe+h+
against,נגד,ne+ge+d
again,שוב,xuv
ordinary,רגיל,ragil
passive,פסיבי,pasivii
possible,אפשרי,efxarii
probable,סביר,savir
impossible,בלתי אפשרי,bilti efxarii
correct,נכון,nah+on
incorrect,לא נכון,lo nah+on
safe,בטוח,batoo'ah+
amazing,מדהים,madhim
ancient,עתיק,a+tik
wishy washy,לא החלטי,lo heh+le+ti
whole,שלם,xale+m
useful,שימושי,ximuxii
mental,נפשי,nafxi
physical,פיזי,fizi
spiritual,רוחני,rooh+ani
optional,אפשרי,efxarii
required,נדרש,nidrax
accomplish,להשיג,le+hasiig
act,להתנהג,le+hitnaheg
adapt,להסתגל,le+histage+l
add,להוסיף,le+hosif
adjust,להתאים,le+hat'im
advise,לייעץ,le+yae+tz
aggregate,לקבץ,le+kabe+tz
agree,להסכים,le+haskim
alternate,להחליף,le+hah+lif
approve,לאשר,le+asher
approximate,להעריך,le+haarih+
ask,לשאול,Lix'ol
assume,לשער,le+xae+r
attach,לחבר,le+h+aber
attempt,לנסות,le+nasot
attend,להשתתף,le+hixtate+f
attend,לטפל,le+tape+l
awaken,להתעורר,le+hitore+r
balance,איזון,izun
be,להיות,lihiyot
believe,להאמין,le+(ha)'amin
bend,לכופף,le+kofef
benefit,להרוויח,le+harviah+
blend,לערבב,le+arbev
borrow,לשאול,Lix'ol
bounce,להקפיץ,le+hakpitz
break,לשבור,lishbor
build,לבנות,livnot
browse,לחפש,le+h+apes
bundle up,לארוז,la'roz
buy,לקנות,liknot
call,להתקשר,le+hitkaxer
carry,לסחוב,lish+ov
catch,לתפוס,litfos
categorize,לסווג,le+save+g
cause,סיבה,siba
change,שינוי,xinooi
check,לבדוק,livdok
continue,להמשיך,le+hamxih+
chip,לשבור,lixbor
choose,לבחור,livh+or
chop,לחתוך,lah+toh+
classify,לסווג,le+save+g
clean,נקי,nakii
climb,לטפס,le+tape+s
clone,לשבט,le+xabe+t
collect,לאסוף,le+'e+sof
come,לבוא,lavo
compute,לחשב,le+h+axe+v
communicate,לתקשר,le+takxe+r
congratulate,לברך,le+vare+h+
consider,לשקול,lixkol
count,לספור,lispor
crack,לפצח,le+fatse+'ah+
crawl,לזחול,lizh+ol
cover,לחסות,le+h+asot
create,ליצור,litsor
cross,לחצות,lah+zot
dance,ריקוד,Rikud
decide,להחליט,le+hah+lit
delay,עיקוב,ikuv
deliver,לשלוח,lixloah+
demonstrate,להדגים,le+hadgim
digest,לעקל,le+ake+l
divide,לחלק,le+h+ale+k
draw,לצייר,le+tsaye+r
dream,לחלום,lah+lom
drink,לשתות,lishtot
drip,לטפטף,le+tafte+f
drive,לנהוג,linh+og
drop,להפיל,le+hapil
drum,לתופף,le+tofe+f
eat,לאכול,le+'e+hol
do,לעשות,la'asot
drain,לנקז,le+nake+z
energize,להמריץ,le+hamritz
engage,להעסיק,le+ha'asik
enter,להיכנס,le+hikane+s
estimate,להעריך,le+ha'arih+
exchange,להחליף,le+hah+lif
exit,יציאה,Ye+tsi'a
expect,לצפות,le+tsapot
explain,להסביר,le+hasbir
explore,לחקור,lah+kor
extend,להאריך,le+ha'arih+
fall,נפילה,ne+fila
rise,לעלות,la'alot
feed,להאכיל,le+ha'ah+il
feel,להרגיש,le+hargix
fill,למלא,le+male+
figure stuff out,להבין דברים,le+havin Dvarim
find,למצוא,limtso
float,לצוף,latsuf
flow,לזרום,lizrom
focus,להתמקד,le+hitmake+d
follow,לעקוב,la'akov
forget,לשכוח,lishko'ah+
fork,מזלג,mazle+g
form,צורה,tsura
discover,לגלות,le+galot
doubt,להטיל ספק,le+hatil safe+k
fund,לממן,le+mame+n
gather,לאסוף,La'asof
get,להשיג,le+hasig
breathe,לנשום,linxom
give,לתת,late+t
go,ללכת,lale+h+e+t
grab,לתפוס,litfos
allow,לאפשר,le+afxer
deny,להכחיש,le+hakh+ix
grasp,להשיג,le+hasig
graze,לרעות,lir'ot
group,לקבץ,le+kabe+tz
grow,לגדול,ligdol
guide,להדריך,le+hadrih+
have,יש,ye+x
hear,לשמוע,lixmo'a
help,לעזור,la'azor
hold,להחזיק,le+hah+zik
hunt,לצוד,latsud
imagine,לדמיין,le+damyen
include,לכלול,lih+lol
integrate,לשלב,le+xale+v
intend,להתכוון,le+hitkave+n
interpret,לפרש,le+fare+x
introduce,להכיר,le+hakir
involve,לערב,le+are+v
join,להצטרף,le+hitstare+f
jump,לקפוץ,Likfotz
keep,לשמור,lixmor
know,לדעת,lada'at
laugh,לצחוק,litsh+ok
lay down,לשכב,lixkav
lead,להנהיג,le+hanhig
learn,ללמוד,lilmod
leave,לעזוב,la'azov
lift,להרים,le+'harim
like,לחבב,le+h+abev
listen,להקשיב,le+hakxiv
live,לחיות,lih+yot
look,להסתכל,le+histake+l
love,לאהוב,le+'e+hov
maintain,לשמור,lixmor
make,להכין,le+hah+in
manage,לנהל,le+nahe+l
map,למפות,le+mapot
master,לשלוט,lixlot
measure,למדוד,Limdod
mind,אכפת לך,e+h+pat le+h+a (m)/ e+hpat lah+ (F)
model,דגם,de+ge+m
move,להזיז,le+haziz
multiply,להתרבות,le+hitrabot
navigate,לנווט,le+navet
need,להצטרך,le+hitstareh+
negate,לשלול,lixlol
note/notice,לשים לב,lasim le+v
nudge,לדחוף,lidh+of
organize,לארגן,le+arge+n
overcome,להתגבר,le+hitgaber
participate,להשתתף,le+hixtate+f
pass,לעבור,la'avor
pop,לפוצץ,le+fotse+ts
pour,לשפוך,lixpoh+
pray,להתפלל,le+hitpalel
prove,להוכיח,le+hoh+iah+
push,לדחוף,lidh+of
reach,להגיע,le+hagi'a
read,לקרוא,likro
receive,לקבל,le+kabe+l
reduce,להפחית,le+hafh+it
release,לשחרר,lexah+re+r
remember,לזכור,lizkor
remove,להסיר,le+hasir
rent,לשכור,liskor
repeat,לחזור,lah+zor
request,לבקש,le+vake+x
respect,לכבד,le+habe+d
respond,להשיב,le+haxiv
rest,לנוח,lano'ah+
restart,לאתחל,le+ath+el
restore,לשחזר,le+xah+ze+r
resume,להמשיך,le+hamxih+
return,לחזור,lah+zor
reverse,להפוך,lahafoh+
rewind,להריץ אחורה,le+haritz
rotate,לסובב,le+sove+v
satisfy,לספק,le+sape+k
bless,לברך,le+vare+h
save,לשמור,lixmor
say,להגיד,le+hagid
sell,למכור,limkor
send,לשלוח,lixloah+
set,לקבוע,likboa
shade,להצל,le+hatze+l
share,לחלוק,lah+lok
sing,לשיר,laxir
sit,לשבת,laxe+ve+t
stand,לעמוד,la'amod
start,להתחיל,le+hath+il
stay,להישאר,le+hixae+r
step,לצעוד,lits'od
think,לחשוב,lah+xov
try,לנסות,le+nasot
turn,לסובב,le+sove+v
understand,להבין,le+havin
update,לעדכן,le+'adke+n
use,להשתמש,le+hixtame+x
verify,לאשר,le+axe+r
vibrate,להרטיט,le+hartit
wait,לחכות,le+h+akot
wait for,לחכות ל,le+h+akot le+
walk,ללכת,lale+h+e+t
wander,לתהות,lit'hot
want,לרצות,le+ratzot
wash,לשטוף,lixtof
watch,לצפות,le+tsapot
wield,להחזיק,le+hah+zik
work,עבודה,avoda
write,לכתוב,lihtov
yawn,לפהק,le+fahe+k
yield,יבול,ye+vol
yield,תנובה,tnuva
attempt,לנסות,le+nasot
cure,לרפא,le+rape+
dedicate,להקדיש,leh+akdish
finish,לסיים,le+sayem
harvest,לקצור,liktsor
roll,להתגלגל,le+hitgalge+l
shape,לעצב,le+atse+v
shine,זוהר,zohar
shop,לקנות,liknot
sleep,לישון,lixon
smell,ריח,re'ah+
study,ללמוד,lilmod
taste,לטעום,lit'om
test,לבדוק,livdok
combine,לשלב,le+xale+v
evolve,להתפתח,le+hitpate'ah+
align,ליישר,le+yaxe+r
produce,להפיק,le+hafik
consume,לצרוך,litzroh+
throw,לזרוק,lizrok
mirror,לחכות,le+h+akot
snore,לנחור,linh+or
boyfriend,חבר,h+ave+r
girlfriend,חברה,h+ave+ra
husband,בעל,Ba'al
wife,אישה,isha
mom,אמא,ima
dad,אבא,aba
mother,אמא,ima
father,אבא,aba
aunt,דודה,doda
author,סופר,sofe+r
baby,תינוק,tinok
adult,מבוגר,me+vugar
brother,אח,ah+
parent,הורה,hore+
child,ילד,ye+le+d
cousin,בן דוד,be+n dod
niece,אחיינית,ah+yanit
nephew,אחיין,ah+yan
elder,זקן,zake+n
male,זכר,zah+ar
female,נקבה,ne+ke+va+
man,איש,ix
woman,אישה,ixa
animal,אוויר,avir
ant,חייה,h+aya
arm,זרוע,zro'a
aromatics,ארומטים,aromatim
ash,אפר,e+fe+r
asteroid/comet,אסטרואיד\כוכב שביט,a+stroid/ koh+av xavit
atom,אטום,atom
beach,חוף,h+of
beak,מקור,makor
bear,דוב,dov
beard,זקן,zake+n
beast,חיה,h+aya
bee,דבורה,dvora
belly,בטן,be+te+n
wind,רוח,ro'ah+
wing,כנף,kanaf
womb,רחם,reh+em
berry,ענב,anav
bird,ציפור,tsipor
squirrel,סנאי,sna'i
snail,חילזון,h+ilazon
mind,נפש,ne+fe+x
soul,נשמה,ne+xama
gut,בטן,be+te+n
brain,מוח,mo'ah+
bone,עצם,e+tse+m
blood,דם,dam
bug,חרק,h+e+re+k
worm,תולעת,tola'at
butterfly,פרפר,parpar
wolf,זאב,ze+'e+v
breeze,בריזה,briza
cat,חתול,h+atul
cell,תא,ta
chemical,כימי,k+imi
cliff,צוק,tsok
cloud,ענן,anan
coyote,זאב ערבות,ze+'e+v aravot
crow,עורב,ore+v
deer/elk/moose,צבי,tsvi
desert,מדבר,midbar
dirt,אדמה,adama
shadow,צל,tsel
darkness,חשכה,h+axeh+a
dawn,שחר,xah+ar
day,יום,yom
daytime,יום,yom
daydream,חלום בהקיץ,h+alom be+ha'kits
dog,כלב,ke+le+v
dove,יונה,yona
dusk,שקיעה,xki'a
eagle/hawk,עיט\נץ,ait/ne+ts
owl,ינשוף,yanxof
ear,אוזן,oze+n
earth,אדמה,adama
egg,ביצה,be+itsa
seed,זרע,ze+ra
tadpole,ראשן,roxan
plant,צמח,tse+mah+
tree,עץ,e+ts
bush,שיח,si'ah+
water,מים,ma'im
river,נהר,nahar
elbow,מרפק,marpe+k
chip,שבב,xvav
exercise,התעמלות,hitam'loot
eye,עין,ain
eyelash,ריס,ris
vein,וריד,vrid
finger,אצבע,etsba
face,פנים,panim
weather season,עונת מזג האוויר,onat me+ze+g ha'avir
feet,רגליים,raglaim
fire,אש,ex
fish,דג,dag
flame,להבה,le+hava
flower,פרח,pe+rah+
fly,זבוב,zvov
foot,רגל,re+ge+l
forest,יער,ya'ar
fruit,פרי,Pri
gas,גז,gaz
gills,זימים,zimim
grass,דשא,de+xe+
gust,משב,maxav
hail,ברד,barad
hair,שיער,se+'ar
hand,יד,yad
hare,ארנב,arnav
head,ראש,rox
tail,זנב,zanav
heart,לב,le+v
hedgehog/groundhog,קיפוד,kipod
hill,גבעה,giv'a
horizon,אופק,ofe+k
ice,קרח,ke+rah+
lake,אגם,agam
land,ארץ,e+re+ts
leaf,עלה,ale+
leg,רגל,re+ge+l
lip,שפה,safa
lizard,לטאה,le+ta'a
Mars,מאדים,ma'adim
Earth,כדור הארץ,kadur ha'arets
Venus,נגה,noga
Saturn,שבטאי,xavtaii
milky way galaxy,גלקסיית שביל החלב,galaxii'at xvil he+h+alav
moon,ירח,yare+ah+
sun,שמש,xemex
star,כוכב,koh+av
planet,כוכב לכת,koh+av le+h+e+t
metal,מתכת,mate+h+e+t
ocean,אוקיינוס,okiyanos
mountain,הר,har
mouth,פה,pe+
nut,אגוז,etc.)
outer space,החלל החיצון,he+lal ha'h+itson
pond,בריכה,bre+h+a
rain,גשם,ge+xe+m
road,כביש,kvix
rock,אבן,e+ve+n
rodent/mouse/rat,מכרסם,me+h+arse+m
sand,חול,h+ol
bark,נביחה,ne+vih+a
hug,חיבוק,h+ibuk
kiss,נשיקה,ne+xika
bag,תיק,tik
ball,כדור,kadur
boat,סירה,sira
book,ספר,se+fe+r
bottle,בקבוק,bakbuk
bowl,קערה,ke+'ara
box,קופסא,kufsa
bread,לחם,le+h+e+m
bucket,דלי,dli
camera,מצלמה,matsle+ma
calendar,לוח שנה,lo'ah+ xana
clock,שעון,xa'on
case,תיק,tik
cheese,גבינה,gvina
chicken,עוף,of
beef,בקר,bakar
cup,כוס,kos
dish/plate,צלחת,tsalaxat
dictionary,מילון,milon
door,דלת,de+le+t
drum,תוף,tof
guitar,גיטרה,gitara
electronics,מכשירי חשמל,mah+xire+i h+axmal
faucet,ברז,be+re+z
flute,חליל,h+alil
food,אוכל,oh+e+l
glass,זכוכית,zh+oh+it
house,בית,bait
meat,בשר,basar
milk,חלב,h+alav
plane,מישור,mixor
circle,מעגל,ma'agal
triangle,משולש,mexolax
square,ריבוע,ribu'a
rectangle,מלבן,malbe+n
line,קו,kav
axis,ציר,tsir
curve,עיקול,ikul
direction,כיוון,kivon
speed,מהירות,me+hirut
source,מקור,makor
target,מטרה,matara
cycle,מחזור,mah+zor
wave,גל,gal
spiral,ספירלה,spirala
distance,מרחק,me+rh+ak
edge,קצה,katse+
side,צד,tsad
surface,משטח,mixtah+
height,גובה,gova
width,רוחב,roh+av
neighborhood,סביבה,sviva
parallel,מקביל,makbil
perpendicular,אנכי,anah+i
position,עמדה,e+mda
range,טווח,tva+h
ratio/proportion,פרופורציה,proportsia
ring,מעגל,ma'agal
shape,צורה,tsora
ability,יכולת,yeh+ole+t
adjustment,התאמה,hat'ama
now,עכשיו,ah+xav
alternative,חלופה,h+alufa
amount,כמות,k+amut
answer,תשובה,txova
approximate,מוערך,mu'arah+
previous,קודם,kode+m
next,הבא,haba
aspect,הבט,habe+t
assumption,הנחה,hanah+a
attention,תשומת לב,tsumat le+v
awareness,מודעות,muda'ut
base,בסיס,basis
behavior,התנהגות,hitnahagut
belief,אמונה,e+muna
benefit,רווח,re+vah+
bit,חתיכה,h+atih+a
block,בלוק,blok
break,הפסקה,hafsaka
bring,להביא,le+'havi
burner,מבער,mav'e+r
burnt,שרוף,saruf
capacity,קיבולת,kibole+t
category,קטגוריה,kate+goriya
cement,בטון,be+ton
censored,מצונזר,me+tsonzar
change,שינוי,xinoi
character,אופי,ofi
choice,בחירה,bh+ira
cold,צינון,tsinon
concept,מושג,mosag
condition,מצב,matsav
congratulations,מזל טוב,mazal tov
connection,חיבור,h+ibor
container,מכולה,meh+ola
cover,מכסה,mah+ase+
cozy,נוח,no'ah+
crack,חריץ,h+aritz
crown,כתר,k+e+te+r
decision,החלטה,hah+lata
decoration,קישוט,kixut
density,צפיפות,tsfifo+t
depth,עומק,ome+k
doubt,ספק,safe+k
certainty,ודאות,vada'o+t
drain,חור ניקוז,h+or Niko+z
dream,חלום,h+alom
drink,משקה,maxke+
drip,טפטוף,tiftuf
drive,the drive to get things done),dah+af
drop,נפילה,ne+fila
effect,אפקט,e+fe+kt
energy,אנרגיה,e+ne+rgia
environment,סביבה,sviva
estimate,הערכה,ha'ara'h+a
feature,תכונה,th+ona
floor,רצפה,ritspa
force,כוח,ko'ah+
friend,חבר,h+ave+r
front,חזית,h+azit
fun,כיף,ke+f
future,עתיד,atid
game,משחק,mish+ak
gap,רווח,re+vah+
gesture,מחווה,me+h+va
goal,מטרה,matara
grammar,דקדוק,dikduk
ground,אדמה,adama
group,קבוצה,kvutsa
guide,מדריך,madrih+
habit,הרגל,he+rge+l
heat,חום,h+om
hint,רמז,re+me+z
home,בית,Ba'it
hope,תקווה,tikva
hour,שעה,xa'a
human,בן אדם,be+n adam
ideal,אידיאלי,idi'ali
imagination,דמיון,dimyon
information,מידע,me+i'da
intensity,עוצמה,otsma
intention,כוונה,kavana
interest,עניין,in'yan
joke,בדיחה,bdih+a
juice,מיץ,mits
knowledge,ידע,ye+da
language,שפה,safa
letter,מכתב,mih+tav
life,חיים,h+a'iim
light,אור,or
limit,גבול,gvol
list,רשימה,re+xima
love,אהבה,aha'va
marriage,נישואים,nisoiim
mass,מסה,masa
material,חומר,h+ome+r
memory,זיכרון,zikaron
memory,זיכרון,zikaron
mind,נפש,nefex
minute,דקה,daka
model,דגם,de+ge+m
money,כסף,ke+se+f
monk,נזיר,nazir
month,חודש,h+odex
moon,ירח,yare+'ah+
motivation,מוטיבציה,motivatsia
mud,בוץ,bots
narrow,צר,tsar
nature,טבע,te+va
necessity,כורח,korah+
need,צורך,tsore+h
nest,קן,ke+n
neurotransmitter,נוירוטרנסמיטר,noirotransmite+r
night,לילה,lai'la
northern,צפוני,tsfoni
southern,דרומי,dromi
eastern,מיזרחי,mizrah+i
western,מערבי,ma'aravi
number,מספר,mispar
overcome,להיתגבר,le+hitgabe+r
part/piece,חלק,h+e+le+k
particle,חלקיק,h+elkik
past,עבר,avar
path,דרך,de+re+h+
pause,הפסקה,hafsaka
pebble,חלוק,h+alook
pile/stack,ערמה,are+ma
place,מקום,makom
potential,פוטנציאל,pote+ntsial
power,כוח,ko'ah+
practice,אימון,imoon
present,הווה,ho've+
probability,סבירות,svirot
process,תהליך,ta'halih+
program,תוכנה,toh+na
pronunciation,הגייה,hagiya
question,שאלה,xe+'e+la
quiet,שקט,xe+ke+t
reason,סיבה,siba
logic,הגיון,higayon
reduce,להפחית,le+hafh+it
reflection,השתקפות,hixtakfoot
room,חדר,h+e+de+r
second,שנייה,xniya
shade,צל,tse+l
step,צעד,tsa'ad
still,עוד,od
story,סיפור,sipoor
sword,חרב,h+e+re+v
system,מערכת,ma'are+h+e+t
talk,לדבר,le+dabe+r
thing,דבר,dabe+r
traffic,תנועה,tnu'a
noise,רעש,ra'ax
cricket,צרצר,tsartsar
value,ערך,e+re+h+
voice,קול,kol
wall,קיר,kir
will,רצון,ratson
win,ניצחון,nitsah+on
faith,אמונה,e+muna
courage,אומץ,ome+ts
humility,ענווה,anva
compassion,חמלה,h+emla
wonder,לתהות,lit'hot
wood,עץ,e+ts
wool,צמר,tse+me+r
word,מילה,mila
worth,שווי,xovii
year,שנה,xana
rhythm,קצב,ke+tse+v
beat,קצב,ke+tse+v
adventure,הרפתקאה,harpatka'a
context,הקשר,he+kxe+r
cave,מערה,me+'ara
universe,יקום,ye+kum
mushroom,פטרייה,pitriya
god,אלוהים,e+lohim
creation,יצירה,ye+tsira
matter,חומר,h+ome+r
chaos,כאוס,ke+os
Monday,יום שני,yom xeni
Tuesday,יום שלישי,yom xlixi
Wednesday,יום רביעי,yom re+vi'i
Thursday,יום חמישי,yom h+amixi
Friday,יום שישי,yom xixi
Saturday,יום שבת,yom xabat
Sunday,יום ראשון,yom rixon
January,ינואר,yanu'ar
February,פברואר,febru'ar
March,מרץ,me+rts
April,אפריל,april
May,מאי,maii
June,יוני,yunii
July,יולי,yulii
August,אוגוס,ogust
September,ספטמבר,se+pte+mbe+r
October,אוקטובר,octobe+r
November,נובמבר,nove+mbe+r
December,דצמבר,detse+mbe+r
peace,שלום,xalom
forgiveness,סליחה,slih+a
thank you,תודה,to'da
you're welcome,בבקשה,be+vakaxa
please,בבקשה,be+vakaxa
sorry,סליחה,slih+a
one,אחד,e+had
two,שתיים,xtaiim
three,שלוש,xalox
four,ארבע,arba
five,חמש,h+amex
six,שש,xe+x
seven,שבע,xe+va
eight,שמונה,xmone+
nine,תשע,te+xa
ten,עשר,e+se+r
eleven,אחת-עשרה,ah+at-e+sre+
twelve,שתים-עשרה,xte+m-e+sre+
