word,translation,pronunciation
live,जीना,jeena
look,देखना,deekhna
love,प्यार करना,piyar krna
maintain,बनाए रखना,banae rkhna
make,बनाना,bnana
manage,संभालना,samn'bhalna
map,योजना बनाना,yojna bnana
master,माहिर होना,mahir hona
measure,मापना,napna
mind,बुरा मानना,bura manna
model,नमूना बनाना,namuna bnana
move,हिलना,hilna
multiply,बढ़ाना,br+r+ana
navigate,राह दिखाना,rah dikhana
need,जरूरत,jazurth
negate,नकारना,nkarna
note/notice,ध्यान देना,dheyaan dena
nudge,इशारा करना,ishara krna
organize,आयोजित करना,aayogit krna
overcome,काबू पाना,k+abu pana
participate,हिस्सा लेना,hissa lena
pass,गुज़रना,guzrna
pour,उंडेलना,und+elna
pray,प्रार्थना करना,prarthna krna
prove,साबित करना,sabit krna
push,धकेलना,dhakhelna
reach,पहुंचना,pohuntxna
read,पढ़ना,par+r+hna
receive,लेना,lena
reduce,कम करना,km krna
release,छोड़ना,txhor+r+na
remember,याद रखना,yad rakhna
remove,हटाना,htana
rent,किराया,kiraya
repeat,दोहराना,dohrana
request,निवेदन करना,nivedan krna
respect,सम्मान,smman
respond,जवाब देना,jawab dena
rest,आराम,aaram
restart,पुनर्प्रारंभ करना,punarprarmbhv krna
restore,बहाल करना,bhal krna
resume,चलने देना,txalne dena
return,वापसी,wapsi
reverse,उलटा,ulta
rewind,पीछे करना,peetxhe krna
rotate,घूमना,ghoomna
satisfy,संतुष्ट करना,sunthusht krna
bless,वरदान देना,vrdaan dena
save,बचाना,btxana
say,कहना,kehna
sell,बेचना,beetxna
send,भेजना,bheejna
set,लगाना,lgana
shade,छाया देना,txhaya dena
share,बांटना,ba'ntna
sing,गाना,gaana
sit,बैठना,bait+hna
stand,खड़ा होना,khar+r+a hona
stay,रहना,rehna
step,कदम उठाना,kadm ut+hana
think,सोचना,sotxna
try,कोशिश,kos+his+h
turn,मोड़,mor+r+
understand,समझना,samajhna
update,अद्यतन,adhyatn
use,उपयोग,upyog
verify,परखना,prakhna
vibrate,कांपना,ka'npna
wait,इंतिज़ार,intezar
wait for,का इंतिज़ार करना,ka intezar krna
walk,चलना,txalna
wander,फिरना,phirna
want,चाहना,txahna
wash,धोना,dhona
watch,देखना,dekhna
wield,पकड़ना,pakar+r+na
work,काम करना,kaam krna
write,लिखना,likhna
yawn,जंभाई,jahwai
yield,पैदावार,paidawar
yield,जाने देना,jane dena
attempt,कोशिश,kos+his+h
cure,इलाज,ilaaj
dedicate,समर्पित करना,smarpit krna
finish,समाप्त करना,samapth krna
harvest,फ़सल काटना,fhasal katna
roll,घूमना,ghoomna
shape,आकार,aakaar
shine,चमक,txamak
shop,दुकान,dukaan
sleep,नींद,neendh
smell,सूंघना,suun'ghna
study,पढ़ना,par+r+hna
taste,स्वाद,suvad
test,परीक्षा,pariksha
combine,जोड़ना,jor+r+na
evolve,विकसित करना,viksit krna
align,सीध में रखना,seedh mai rakhna
produce,उत्पादन करना,uthpadn krna
consume,उपभोग करना,upyog krna
throw,फेंकना,phen'kna
mirror,नक़ल करना,nql krna
snore,खर्राटे लेना,h+arrate lena
boyfriend,दोस्त,dost
girlfriend,दोस्त,dost
husband,पति,pti
wife,पत्नी,ptni
mom,माँ,maa'n
dad,पिता,pita
mother,माँ,maa'n
father,पिता,pita
aunt,मामी,mami
author,लेखक,lekhak
baby,बच्चा,batxtxa
adult,बालिग,balig
brother,भाई,bhai
parent,माता पिता,mata pita
child,बच्चा,batxtxa
cousin,चचेरा भाई,txatxera bhai
niece,भांजी,bhanji
nephew,भतीजा,bhathija
elder,बड़ा,br+r+a
male,नर,nr
female,महिला,mahila
man,आदमी,aadmi
woman,औरत,aaurat
air,हवा,hawaa
animal,जानवर,janwar
ant,चींटी,txiinti
arm,हाथ,hath
aromatics,खुशबूदार,h+us+hbudar
ash,राख,rak+h
asteroid/comet,धूमकेतु,dhoomketu
atom,कण,kn'
beach,तट,tht+
beak,चोंच,txoonch
bear,भालू,bhaalu
beard,दाढ़ी,dar+r+i
beast,जानवर,janwar
bee,मधुमक्खी,madhu makhkhi
belly,पेट,pet
wind,हवा,hawa
wing,पर,pr
womb,कोख,kokh
berry,बेर,bair
bird,चिड़िया,txir+r+iya
squirrel,गिलहरी,gilahree
snail,घोंघा,ghongha
mind,मन,mn
soul,आत्मा,aatma
body,वस्तु,vastu
gut,पेट,pet
brain,दिमाग,dimaag
bone,हड्डी,had+d+i
blood,खून,h+uun
bug,कीड़ा,kiir+r+a
worm,कीड़ा,kiir+r+a
butterfly,तितली,titli
wolf,भेड़िया,bher+r+iya
breeze,हवा,hawa
cat,बिल्ली,billi
cell,कोशिका,kos+hika
chemical,रासायनिक,rasayanik
cliff,चोटी,txoti
cloud,बादल,badal
